project;merge commit;class;original method;SdgCreated; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests; void realistic.testCommonGramsAnalysis.source.org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testQueryModeCommonGramsAnalysis();not found;;;;;;;;;;;;;;;;;;
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;CommonGramsTokenFilterFactoryTests; void realistic.testCommonGramsAnalysis.source.org.elasticsearch.index.analysis.commongrams.CommonGramsTokenFilterFactoryTests.testCommonGramsAnalysis();not found;;;;;;;;;;;;;;;;;;
elasticsearch;f3d63095dbcc985e24162fbac4ee0d6914dc757d;KuromojiAnalysisTests; AnalysisService org.elasticsearch.index.analysis.KuromojiAnalysisTests.createAnalysisService();not found;;;;;;;;;;;;;;;;;;
elasticsearch;36884807b3cc9d660db4da062275c7fdbec8ba67;SimpleIndexQueryParserTests; void org.elasticsearch.index.query.SimpleIndexQueryParserTests.setup();not found;;;;;;;;;;;;;;;;;;
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactoryTest; void fitnesse.testsystems.slim.tables.SlimTableFactoryTest.setUp();not found;;;;;;;;;;;;;;;;;;
fitnesse;4d9ba9d221d879507440feb084fa7521b95111ec;SlimTableFactory; void fitnesse.testsystems.slim.tables.SlimTableFactory.SlimTableFactory();not found;;;;;;;;;;;;;;;;;;
cloud-slang;20bac30d9bd76569aa6a4fa1e8261c1a9b5e6f76;SlangImpl; Set io.cloudslang.lang.api.SlangImpl.getAllEventTypes();not found;;;;;;;;;;;;;;;;;;
spring-boot;958a0a45f164601d01cb706c19f22ed3e25eff56;MongoProperties;Builder org.springframework.boot.autoconfigure.MongoProperties.builder(MongoClientOptions);not found;;;;;;;;;;;;;;;;;;
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchiveTests; void org.springframework.boot.loader.archive.ExplodedArchiveTests.getUrl();not found;;;;;;;;;;;;;;;;;;
spring-boot;af20dc6cc45c032573413c401f9f73aa75371744;ExplodedArchive; URL org.springframework.boot.loader.archive.ExplodedArchive.getUrl();not found;;;;;;;;;;;;;;;;;;
spring-boot;ea8107b6a53fa60b5f23b33e1b6d2e88bb60133c;UndertowEmbeddedServletContainerFactory; DeploymentManager org.springframework.boot.context.embedded.undertow.UndertowEmbeddedServletContainerFactory.createDeploymentManager(ServletContextInitializer);not found;;;;;;;;;;;;;;;;;;
spring-boot;3444ebbc05b99a164474c14d6a6784f749514428;SpringBootServletInitializer; WebApplicationContext org.springframework.boot.context.SpringBootServletInitializer.createRootApplicationContext(ServletContext);not found;;;;;;;;;;;;;;;;;;
spring-boot;074771ec125dd407af0282b92960e9e9e3377e84;SpringBootServletInitializer; WebApplicationContext org.springframework.boot.context.SpringBootServletInitializer.createRootApplicationContext(ServletContext);not found;;;;;;;;;;;;;;;;;;
spring-boot;fdd3f12ee0f92ac18844c08bf71df39feebb6673;AutoConfigurationReportLoggingInitializer; void org.springframework.boot.autoconfigure.AutoConfigurationReportLoggingInitializer.logAutoConfigurationReport(boolean);not found;;;;;;;;;;;;;;;;;;
spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;TomcatEmbeddedServletContainerFactory; void src.main.java.org.springframework.boot.context.embedded.TomcatEmbeddedServletContainerFactory.customizeConnector(Connector);not found;;;;;;;;;;;;;;;;;;
quickml;bae968d9a85c0501ba8842a6f88e7fc2c6b78693;OutOfTimeCrossValidatorRunner; PredictiveModelBuilder quickdt.experiments.OutOfTimeCrossValidatorRunner.getRandomForestBuilder(int, int);not found;;;;;;;;;;;;;;;;;;
